home_team,home_score
AFC Bournemouth,1.236842105263158
Arsenal FC,2.6578947368421053
Aston Villa FC,2.1315789473684212
Brentford FC,1.6842105263157894
Brighton & Hove Albion FC,1.763157894736842
Burnley FC,1.0
Chelsea FC,1.6842105263157894
Crystal Palace FC,1.5263157894736843
Everton FC,1.0
Fulham FC,1.631578947368421
Leeds United FC,1.368421052631579
Leicester City FC,1.2105263157894737
Liverpool FC,2.5
Luton Town FC,1.4736842105263157
Manchester City FC,2.9210526315789473
Manchester United FC,1.763157894736842
Newcastle United FC,2.236842105263158
Nottingham Forest FC,1.4210526315789473
Sheffield United FC,1.0
Southampton FC,1.0
Tottenham Hotspur FC,1.9736842105263157
West Ham United FC,1.5
Wolverhampton Wanderers FC,1.1842105263157894
